LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2012,Maruti,Ertiga VXI,Manual,"37,786 km",Petrol,1st Owner,"₹4,15,000"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"47,562 km",Diesel,2nd Owner,"₹3,99,142"
New Delhi,2015,Honda,Mobilio 1.5 S I DTEC,Manual,"52,945 km",Diesel,1st Owner,"₹4,55,000"
New Delhi,2019,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"31,235 km",Diesel,1st Owner,"₹18,00,000"
New Delhi,2019,Maruti,Ertiga ZDI PLUS,Manual,"30,079 km",Diesel,1st Owner,"₹10,00,000"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,515 km",Petrol,1st Owner,"₹7,60,000"
New Delhi,2012,Mahindra,Quanto C6,Manual,"98,051 km",Diesel,1st Owner,"₹2,35,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"73,120 km",Diesel,1st Owner,"₹5,25,000"
New Delhi,2015,Mahindra,TUV300 T8,Manual,"95,349 km",Diesel,1st Owner,"₹4,89,283"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,227 km",Diesel,1st Owner,"₹5,53,450"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"65,281 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2015,Mahindra,TUV300 T8,Manual,"49,754 km",Diesel,1st Owner,"₹5,55,954"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"21,098 km",Diesel,1st Owner,"₹7,16,295"
New Delhi,2013,Renault,Duster RXZ DIESEL 110,Manual,"65,552 km",Diesel,2nd Owner,"₹3,65,000"
New Delhi,2019,Maruti,XL6 ALPHA AT SHVS,,"13,552 km",Petrol,1st Owner,"₹10,83,430"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"55,471 km",Diesel,1st Owner,"₹6,75,000"
New Delhi,2017,Tata,Hexa Varicor 400 XT,Manual,"60,118 km",Diesel,1st Owner,"₹11,70,000"
New Delhi,2017,Mahindra,TUV300 T8,Manual,"94,756 km",Diesel,1st Owner,"₹5,90,237"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"95,965 km",Diesel,2nd Owner,"₹4,95,000"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID AT,Automatic,"18,250 km",Petrol,1st Owner,"₹10,85,000"
New Delhi,2013,Tata,Safari Storme 2.2 LX 4X2,Manual,"87,317 km",Diesel,2nd Owner,"₹3,50,000"
New Delhi,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"18,572 km",Petrol,1st Owner,"₹9,65,000"
